# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.02373e+03	3.86308e-02	2.92764e-04	6.10444	3.01842	2.31300e-05
2.04376e+03	3.86357e-02	2.13649e-04	6.08332	3.01893	2.31300e-05
2.06380e+03	3.86346e-02	7.83949e-05	6.07113	1.49318	2.31300e-05
2.08384e+03	3.86490e-02	1.40194e-04	5.49084	5.35911	2.31300e-05
2.10388e+03	3.86538e-02	8.67696e-05	2.63407	3.86811	2.31300e-05
2.12391e+03	3.86622e-02	1.74618e-04	0.40387	0.49649	2.31300e-05
2.14395e+03	3.86664e-02	4.55602e-05	3.20893	3.48212	2.31300e-05
2.16399e+03	3.86788e-02	2.29486e-04	0.32800	4.78551	2.31300e-05
2.18402e+03	3.86918e-02	2.01687e-04	0.52065	2.01606	2.31300e-05
2.20406e+03	3.86982e-02	1.97505e-04	0.59196	4.69724	2.31300e-05
2.22410e+03	3.87004e-02	1.18253e-04	0.91560	0.01327	2.31300e-05
2.24413e+03	3.87111e-02	3.12510e-04	0.56380	1.54247	2.31300e-05
2.26417e+03	3.87069e-02	1.75275e-04	3.72646	5.17388	2.31300e-05
2.28421e+03	3.87298e-02	3.44501e-04	5.94739	2.87443	2.31300e-05
2.30425e+03	3.87201e-02	1.73183e-04	4.01264	4.23655	2.31300e-05
2.32428e+03	3.87464e-02	2.38397e-04	0.49520	0.44886	2.31300e-05
2.34432e+03	3.87454e-02	1.93371e-04	6.09880	6.03489	2.31300e-05
2.36436e+03	3.87505e-02	2.48542e-04	0.30613	3.88805	2.31300e-05
2.38439e+03	3.87579e-02	2.77369e-04	5.56938	3.04805	2.31300e-05
2.40443e+03	3.87619e-02	1.47609e-05	6.10149	0.52455	2.31300e-05
2.42447e+03	3.87614e-02	2.04482e-04	2.55948	2.03914	2.31300e-05
2.44450e+03	3.87820e-02	3.07897e-04	0.33343	2.28638	2.31300e-05
2.46454e+03	3.87759e-02	1.61014e-04	3.80029	3.20424	2.31300e-05
2.48458e+03	3.87787e-02	2.68149e-04	3.26065	1.99487	2.31300e-05
2.50461e+03	3.87960e-02	8.92985e-05	1.00981	2.71541	2.31300e-05
2.52465e+03	3.88107e-02	2.22852e-04	0.93584	1.54637	2.31300e-05
2.54469e+03	3.88242e-02	4.88585e-04	0.20325	1.40666	2.31300e-05
2.56472e+03	3.88151e-02	1.09462e-04	3.08195	4.34300	2.31300e-05
2.58476e+03	3.88276e-02	1.22169e-04	0.60527	0.55197	2.31300e-05
2.60480e+03	3.88293e-02	9.01019e-05	5.16598	2.83173	2.31300e-05
2.62484e+03	3.88380e-02	1.54497e-04	5.78900	3.37075	2.31300e-05
2.64487e+03	3.88458e-02	2.50686e-04	6.05965	4.93434	2.31300e-05
2.66491e+03	3.88494e-02	1.74755e-04	6.11691	1.17908	2.31300e-05
2.68495e+03	3.88632e-02	1.65592e-04	0.21207	4.16206	2.31300e-05
2.70498e+03	3.88669e-02	1.33565e-04	0.61507	1.71416	2.31300e-05
2.72502e+03	3.88706e-02	1.59523e-04	5.81944	1.66257	2.31300e-05
2.74506e+03	3.88707e-02	1.45352e-04	2.40085	4.92271	2.31300e-05
2.76509e+03	3.88965e-02	4.42640e-04	5.85880	2.34179	2.31300e-05
2.78513e+03	3.88788e-02	2.06637e-04	3.04974	0.83835	2.31300e-05
2.80517e+03	3.88863e-02	1.93464e-04	2.56831	4.41177	2.31300e-05
2.82520e+03	3.89113e-02	3.68900e-04	5.88378	5.39436	2.31300e-05
2.84524e+03	3.88996e-02	1.54887e-04	3.97992	0.27586	2.31300e-05
