# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.26417e+03	2.82045e-02	8.69376e-04	0.41132	2.26413	1.26440e-05
2.28421e+03	2.82021e-02	8.62820e-04	2.29133	1.04214	1.26440e-05
2.30425e+03	2.82094e-02	1.04515e-03	5.37415	0.48991	1.26440e-05
2.32428e+03	2.81977e-02	1.13824e-03	2.84617	1.09194	1.26440e-05
2.34432e+03	2.82121e-02	1.10340e-03	0.43162	3.47907	1.26440e-05
2.36436e+03	2.82091e-02	1.05193e-03	5.31837	0.47472	1.26440e-05
2.38439e+03	2.82069e-02	7.77510e-04	3.29659	0.04495	1.26440e-05
2.40443e+03	2.82205e-02	1.24726e-03	0.93798	1.92745	1.26440e-05
2.42447e+03	2.82107e-02	8.06545e-04	5.48181	5.21903	1.26440e-05
2.44450e+03	2.82118e-02	8.11926e-04	3.42004	4.56632	1.26440e-05
2.46454e+03	2.82103e-02	8.30193e-04	1.34433	5.97838	1.26440e-05
2.48458e+03	2.82240e-02	9.30940e-04	4.70381	4.03328	1.26440e-05
2.50461e+03	2.82213e-02	1.14211e-03	0.26250	5.70533	1.26440e-05
2.52465e+03	2.82111e-02	9.94152e-04	2.44690	2.87877	1.26440e-05
2.54469e+03	2.82141e-02	7.61003e-04	3.16621	3.69476	1.26440e-05
2.56472e+03	2.82189e-02	9.14993e-04	3.13633	1.12591	1.26440e-05
2.58476e+03	2.82201e-02	1.01049e-03	1.61961	2.24581	1.26440e-05
2.60480e+03	2.82262e-02	1.10541e-03	5.93829	6.03925	1.26440e-05
2.62484e+03	2.82193e-02	8.71036e-04	2.10135	1.38660	1.26440e-05
2.64487e+03	2.82126e-02	9.94618e-04	2.72922	0.81998	1.26440e-05
2.66491e+03	2.82217e-02	8.94660e-04	1.96440	3.95291	1.26440e-05
2.68495e+03	2.82355e-02	1.05886e-03	0.06171	4.22899	1.26440e-05
2.70498e+03	2.82263e-02	9.97900e-04	1.54854	3.45812	1.26440e-05
2.72502e+03	2.82242e-02	8.57014e-04	2.12093	5.98030	1.26440e-05
2.74506e+03	2.82303e-02	8.25741e-04	5.99662	1.28774	1.26440e-05
2.76509e+03	2.82376e-02	7.54042e-04	1.50319	1.05762	1.26440e-05
2.78513e+03	2.82395e-02	1.00664e-03	1.35715	5.23121	1.26440e-05
2.80517e+03	2.82285e-02	7.54516e-04	5.28258	1.47430	1.26440e-05
2.82520e+03	2.82263e-02	8.05079e-04	0.62642	2.44969	1.26440e-05
2.84524e+03	2.82370e-02	1.00076e-03	5.43364	2.74814	1.26440e-05
2.86528e+03	2.82426e-02	1.19344e-03	0.85461	2.36815	1.26440e-05
2.88532e+03	2.82400e-02	8.79192e-04	0.62783	0.13820	1.26440e-05
2.90535e+03	2.82355e-02	9.03478e-04	3.80686	3.39144	1.26440e-05
2.92539e+03	2.82330e-02	8.75085e-04	4.06110	5.78594	1.26440e-05
2.94543e+03	2.82476e-02	1.01004e-03	0.43548	2.09681	1.26440e-05
2.96546e+03	2.82490e-02	1.03516e-03	0.26392	3.82204	1.26440e-05
2.98550e+03	2.82397e-02	5.96556e-04	2.88416	5.37139	1.26440e-05
3.00554e+03	2.82390e-02	9.35709e-04	2.18449	0.33652	1.26440e-05
3.02557e+03	2.82381e-02	7.06918e-04	4.04765	1.67145	1.26440e-05
3.04561e+03	2.82418e-02	8.60447e-04	2.95913	2.34241	1.26440e-05
3.06565e+03	2.82414e-02	9.38624e-04	4.75302	2.80289	1.26440e-05
3.08568e+03	2.82427e-02	6.82017e-04	1.96935	4.26826	1.26440e-05
3.10572e+03	2.82445e-02	6.70032e-04	1.86686	5.77963	1.26440e-05
3.12576e+03	2.82432e-02	9.10405e-04	4.46078	1.03326	1.26440e-05
3.14579e+03	2.82452e-02	9.19825e-04	2.20103	3.95326	1.26440e-05
3.16583e+03	2.82375e-02	8.96351e-04	2.58358	0.66502	1.26440e-05
3.18587e+03	2.82559e-02	1.20164e-03	5.69178	3.74368	1.26440e-05
3.20591e+03	2.82478e-02	7.20317e-04	3.26184	2.60146	1.26440e-05
3.22594e+03	2.82499e-02	8.54093e-04	3.66095	1.43236	1.26440e-05
3.24598e+03	2.82549e-02	1.11579e-03	5.98918	1.19972	1.26440e-05
3.26602e+03	2.82406e-02	9.64166e-04	3.32106	2.55729	1.26440e-05
3.28605e+03	2.82509e-02	7.55908e-04	2.45709	4.94021	1.26440e-05
3.30609e+03	2.82507e-02	6.52313e-04	3.29650	2.22802	1.26440e-05
3.32613e+03	2.82563e-02	1.00452e-03	5.79860	0.77092	1.26440e-05
3.34617e+03	2.82590e-02	6.77147e-04	2.34229	1.89982	1.26440e-05
3.36620e+03	2.82502e-02	8.17917e-04	1.41026	3.42342	1.26440e-05
3.38624e+03	2.82576e-02	6.45439e-04	1.69418	0.42533	1.26440e-05
3.40627e+03	2.82553e-02	8.57747e-04	2.47038	6.16110	1.26440e-05
3.42631e+03	2.82683e-02	9.68934e-04	5.49818	0.05788	1.26440e-05
3.44635e+03	2.82584e-02	9.00589e-04	1.95585	3.50261	1.26440e-05
3.46639e+03	2.82691e-02	9.18864e-04	0.54665	1.53527	1.26440e-05
3.48642e+03	2.82651e-02	1.04544e-03	5.80128	2.21114	1.26440e-05
3.50646e+03	2.82554e-02	7.53749e-04	5.47502	5.24970	1.26440e-05
3.52650e+03	2.82638e-02	7.26951e-04	5.91171	4.26278	1.26440e-05
3.54653e+03	2.82568e-02	7.70192e-04	1.14684	5.26147	1.26440e-05
3.56657e+03	2.82543e-02	1.04137e-03	3.03904	2.66864	1.26440e-05
3.58661e+03	2.82709e-02	1.13468e-03	5.86455	2.23374	1.26440e-05
3.60664e+03	2.82632e-02	7.55112e-04	2.25991	5.03808	1.26440e-05
3.62668e+03	2.82757e-02	9.41177e-04	5.56880	4.09324	1.26440e-05
3.64672e+03	2.82601e-02	7.50889e-04	2.19115	0.40756	1.26440e-05
3.66676e+03	2.82708e-02	9.85447e-04	5.89189	5.34873	1.26440e-05
3.68679e+03	2.82685e-02	8.00383e-04	3.31429	0.87422	1.26440e-05
3.70683e+03	2.82637e-02	8.34058e-04	1.24029	5.34815	1.26440e-05
3.72687e+03	2.82708e-02	7.43389e-04	5.14537	0.73660	1.26440e-05
3.74690e+03	2.82699e-02	6.90527e-04	2.77103	5.62076	1.26440e-05
3.76694e+03	2.82771e-02	8.28699e-04	0.09400	1.41773	1.26440e-05
3.78698e+03	2.82704e-02	7.05977e-04	3.86774	0.26505	1.26440e-05
3.80701e+03	2.82736e-02	9.03302e-04	0.83177	2.86366	1.26440e-05
3.82705e+03	2.82696e-02	8.85054e-04	4.54301	1.95563	1.26440e-05
3.84709e+03	2.82848e-02	1.05256e-03	1.05789	5.21375	1.26440e-05
3.86712e+03	2.82723e-02	8.08203e-04	4.46813	4.87075	1.26440e-05
3.88716e+03	2.82864e-02	9.36947e-04	6.22485	3.14721	1.26440e-05
3.90720e+03	2.82738e-02	7.97791e-04	1.78513	4.62527	1.26440e-05
3.92723e+03	2.82775e-02	7.84277e-04	3.16370	3.58148	1.26440e-05
3.94727e+03	2.82827e-02	6.50420e-04	4.52475	5.86071	1.26440e-05
3.96731e+03	2.82760e-02	6.28157e-04	3.75595	1.01966	1.26440e-05
3.98735e+03	2.82706e-02	1.00365e-03	3.27135	5.44420	1.26440e-05
4.00738e+03	2.82727e-02	8.05458e-04	2.82480	0.56903	1.26440e-05
4.02742e+03	2.82859e-02	1.04949e-03	0.25710	1.17386	1.26440e-05
4.04746e+03	2.82769e-02	6.90102e-04	4.33266	4.77749	1.26440e-05
4.06749e+03	2.82872e-02	1.01990e-03	0.08932	1.22200	1.26440e-05
4.08753e+03	2.82775e-02	7.24422e-04	2.59842	0.58243	1.26440e-05
4.10757e+03	2.82845e-02	7.83206e-04	2.64766	5.83790	1.26440e-05
4.12760e+03	2.82929e-02	8.55737e-04	1.19394	3.42148	1.26440e-05
4.14764e+03	2.82908e-02	7.84905e-04	0.10127	4.05699	1.26440e-05
4.16768e+03	2.82874e-02	5.72617e-04	4.06532	3.05710	1.26440e-05
4.18771e+03	2.82810e-02	7.11195e-04	5.31741	1.92862	1.26440e-05
4.20775e+03	2.82837e-02	7.24127e-04	5.91716	4.91745	1.26440e-05
4.22779e+03	2.82968e-02	1.12472e-03	5.67485	5.95356	1.26440e-05
4.24783e+03	2.82910e-02	4.42758e-04	2.71526	0.56550	1.26440e-05
4.26786e+03	2.82937e-02	6.93927e-04	5.52665	5.46798	1.26440e-05
4.28790e+03	2.82874e-02	7.81471e-04	5.71246	3.93265	1.26440e-05
4.30794e+03	2.82941e-02	7.93080e-04	5.53027	6.24840	1.26440e-05
4.32797e+03	2.82886e-02	7.04119e-04	2.28349	2.57300	1.26440e-05
4.34801e+03	2.82941e-02	7.19357e-04	5.28464	2.49989	1.26440e-05
4.36805e+03	2.82882e-02	8.41383e-04	4.63724	3.35426	1.26440e-05
4.38808e+03	2.82933e-02	5.36318e-04	2.42956	3.02174	1.26440e-05
4.40812e+03	2.82910e-02	6.48953e-04	4.83188	1.67869	1.26440e-05
4.42816e+03	2.83033e-02	8.04240e-04	5.62128	5.45914	1.26440e-05
4.44819e+03	2.83050e-02	6.10529e-04	4.94640	1.72105	1.26440e-05
4.46823e+03	2.83001e-02	9.58071e-04	0.26417	5.61876	1.26440e-05
4.48827e+03	2.83074e-02	1.02779e-03	1.00479	1.31819	1.26440e-05
4.50830e+03	2.83086e-02	8.99272e-04	0.31776	2.10226	1.26440e-05
4.52834e+03	2.83012e-02	5.96803e-04	2.50257	3.57120	1.26440e-05
4.54838e+03	2.82978e-02	5.13433e-04	2.94922	4.13262	1.26440e-05
4.56842e+03	2.82958e-02	6.96717e-04	1.88022	3.55021	1.26440e-05
4.58845e+03	2.83054e-02	6.14693e-04	4.54578	2.87104	1.26440e-05
4.60849e+03	2.82982e-02	7.20546e-04	4.12936	2.64482	1.26440e-05
4.62853e+03	2.83076e-02	6.37495e-04	1.05607	2.38986	1.26440e-05
4.64856e+03	2.83097e-02	7.45925e-04	1.32663	2.50110	1.26440e-05
4.66860e+03	2.83059e-02	8.71419e-04	0.77579	0.75973	1.26440e-05
4.68864e+03	2.83073e-02	3.87241e-04	3.80500	5.46061	1.26440e-05
4.70868e+03	2.82951e-02	8.00794e-04	3.69875	4.37487	1.26440e-05
4.72871e+03	2.82998e-02	7.75382e-04	1.34649	2.97692	1.26440e-05
4.74875e+03	2.83040e-02	8.27522e-04	2.01276	2.20718	1.26440e-05
4.76878e+03	2.83126e-02	9.84806e-04	6.22981	1.65528	1.26440e-05
4.78882e+03	2.83037e-02	6.91643e-04	1.99688	0.70105	1.26440e-05
4.80886e+03	2.83033e-02	6.68510e-04	0.41211	0.82748	1.26440e-05
4.82890e+03	2.82991e-02	8.13725e-04	3.02708	0.51139	1.26440e-05
4.84893e+03	2.83089e-02	8.18666e-04	1.66581	1.59790	1.26440e-05
4.86897e+03	2.83100e-02	6.89810e-04	4.60547	2.14282	1.26440e-05
4.88901e+03	2.83076e-02	8.23901e-04	4.31203	3.37943	1.26440e-05
4.90904e+03	2.83200e-02	1.04780e-03	0.79172	5.33876	1.26440e-05
4.92908e+03	2.83077e-02	6.44414e-04	1.62717	0.41957	1.26440e-05
4.94912e+03	2.83122e-02	8.02011e-04	4.67809	3.37837	1.26440e-05
4.96915e+03	2.83125e-02	5.95981e-04	4.66132	0.60569	1.26440e-05
4.98919e+03	2.83095e-02	6.59033e-04	1.74924	4.50711	1.26440e-05
