# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.10388e+03	1.56647e-02	1.21151e-03	2.38617	0.37376	4.83340e-05
2.12391e+03	1.56626e-02	1.25832e-03	4.65859	3.31155	4.83340e-05
2.14395e+03	1.56640e-02	1.04311e-03	5.28782	5.69715	4.83340e-05
2.16399e+03	1.56596e-02	1.25373e-03	3.92452	1.42679	4.83340e-05
2.18402e+03	1.56572e-02	1.17479e-03	0.42087	3.15635	4.83340e-05
2.20406e+03	1.56557e-02	1.23335e-03	0.01478	5.33290	4.83340e-05
2.22410e+03	1.56548e-02	1.24020e-03	2.44080	1.80641	4.83340e-05
2.24413e+03	1.56516e-02	1.13698e-03	1.21629	5.17856	4.83340e-05
2.26417e+03	1.56499e-02	1.10020e-03	3.30372	2.03697	4.83340e-05
2.28421e+03	1.56491e-02	1.17807e-03	6.16871	1.04161	4.83340e-05
2.30425e+03	1.56473e-02	1.19040e-03	5.52820	0.10424	4.83340e-05
2.32428e+03	1.56492e-02	1.08113e-03	5.19287	1.40750	4.83340e-05
2.34432e+03	1.56444e-02	1.19891e-03	0.11529	3.63198	4.83340e-05
2.36436e+03	1.56436e-02	1.22219e-03	2.29300	0.90980	4.83340e-05
2.38439e+03	1.56405e-02	1.13390e-03	4.80311	0.01412	4.83340e-05
2.40443e+03	1.56441e-02	1.01263e-03	0.78599	1.37514	4.83340e-05
2.42447e+03	1.56374e-02	1.08316e-03	2.41865	5.28489	4.83340e-05
2.44450e+03	1.56376e-02	1.16793e-03	4.01954	4.49180	4.83340e-05
2.46454e+03	1.56345e-02	1.08731e-03	4.88877	6.01956	4.83340e-05
2.48458e+03	1.56334e-02	1.04283e-03	3.59136	4.88171	4.83340e-05
2.50461e+03	1.56329e-02	1.20998e-03	1.97096	5.37839	4.83340e-05
2.52465e+03	1.56308e-02	1.07579e-03	4.00353	3.39868	4.83340e-05
2.54469e+03	1.56286e-02	1.10313e-03	5.20519	3.35830	4.83340e-05
2.56472e+03	1.56289e-02	1.13346e-03	3.18768	1.09548	4.83340e-05
2.58476e+03	1.56269e-02	1.18235e-03	5.02984	2.03391	4.83340e-05
2.60480e+03	1.56255e-02	1.19644e-03	4.16887	0.05069	4.83340e-05
2.62484e+03	1.56234e-02	1.10949e-03	0.52769	1.38251	4.83340e-05
2.64487e+03	1.56259e-02	1.03517e-03	5.37556	0.91747	4.83340e-05
2.66491e+03	1.56209e-02	1.13622e-03	1.20806	3.53849	4.83340e-05
2.68495e+03	1.56195e-02	1.17517e-03	4.96626	4.61527	4.83340e-05
2.70498e+03	1.56183e-02	1.16902e-03	4.87708	3.24109	4.83340e-05
2.72502e+03	1.56163e-02	1.09784e-03	0.57724	5.97382	4.83340e-05
2.74506e+03	1.56142e-02	1.01976e-03	3.28932	1.50751	4.83340e-05
2.76509e+03	1.56133e-02	1.01071e-03	2.57334	0.16879	4.83340e-05
2.78513e+03	1.56124e-02	9.72785e-04	2.27086	4.33380	4.83340e-05
2.80517e+03	1.56098e-02	1.03543e-03	2.08937	1.48841	4.83340e-05
2.82520e+03	1.56084e-02	1.04458e-03	4.10925	2.09339	4.83340e-05
2.84524e+03	1.56077e-02	1.11816e-03	5.71674	2.33438	4.83340e-05
2.86528e+03	1.56091e-02	9.38420e-04	1.31023	1.43639	4.83340e-05
2.88532e+03	1.56060e-02	1.15354e-03	3.00510	6.02848	4.83340e-05
2.90535e+03	1.56044e-02	1.09665e-03	4.41884	3.55187	4.83340e-05
2.92539e+03	1.56022e-02	1.08795e-03	5.93153	6.02925	4.83340e-05
2.94543e+03	1.56013e-02	1.13217e-03	5.86178	2.50037	4.83340e-05
2.96546e+03	1.56001e-02	1.13493e-03	5.44106	4.22405	4.83340e-05
2.98550e+03	1.55975e-02	1.04829e-03	4.34426	5.11035	4.83340e-05
3.00554e+03	1.55975e-02	1.07904e-03	1.19072	0.13913	4.83340e-05
3.02557e+03	1.55949e-02	1.05212e-03	3.22483	0.93536	4.83340e-05
3.04561e+03	1.55956e-02	1.07626e-03	2.84419	2.27475	4.83340e-05
3.06565e+03	1.55936e-02	1.11386e-03	1.03957	3.16403	4.83340e-05
3.08568e+03	1.55909e-02	1.05634e-03	2.71090	4.87522	4.83340e-05
3.10572e+03	1.55895e-02	1.05719e-03	2.55404	0.06324	4.83340e-05
3.12576e+03	1.55895e-02	1.09046e-03	0.40625	1.36015	4.83340e-05
3.14579e+03	1.55883e-02	1.06389e-03	1.21406	3.76694	4.83340e-05
3.16583e+03	1.55891e-02	9.51558e-04	4.92831	0.86589	4.83340e-05
3.18587e+03	1.55918e-02	9.80037e-04	6.17839	4.24565	4.83340e-05
3.20591e+03	1.55851e-02	1.07539e-03	3.74726	2.48240	4.83340e-05
3.22594e+03	1.55837e-02	1.06209e-03	4.15505	1.55064	4.83340e-05
3.24598e+03	1.55846e-02	9.02723e-04	1.19552	1.25248	4.83340e-05
3.26602e+03	1.55869e-02	1.02333e-03	0.03358	2.70816	4.83340e-05
3.28605e+03	1.55797e-02	1.05814e-03	1.46889	4.90126	4.83340e-05
3.30609e+03	1.55771e-02	1.01956e-03	4.82857	2.16176	4.83340e-05
3.32613e+03	1.55776e-02	1.10125e-03	3.24615	1.29669	4.83340e-05
3.34617e+03	1.55745e-02	9.91537e-04	4.00338	1.23415	4.83340e-05
3.36620e+03	1.55739e-02	1.01661e-03	5.90632	3.08986	4.83340e-05
