# aeq_b	eeq_b	aeq_c	eeq_c	aeq_d	eeq_d	aeq_e	eeq_e
1.18123e-02	1.60782e-03	1.56944e-02	2.12451e-03	2.10087e-02	1.51507e-03	2.84626e-02	2.24364e-04
1.18042e-02	1.53829e-03	1.56933e-02	2.03233e-03	2.10279e-02	1.44897e-03	2.85343e-02	2.14491e-04
1.17956e-02	1.47180e-03	1.56922e-02	1.94416e-03	2.10480e-02	1.38576e-03	2.86097e-02	2.05047e-04
1.17867e-02	1.40820e-03	1.56909e-02	1.85984e-03	2.10690e-02	1.32530e-03	2.86889e-02	1.96014e-04
1.17774e-02	1.34738e-03	1.56896e-02	1.77920e-03	2.10909e-02	1.26748e-03	2.87722e-02	1.87375e-04
1.17677e-02	1.28920e-03	1.56881e-02	1.70206e-03	2.11138e-02	1.21217e-03	2.88598e-02	1.79112e-04
1.17575e-02	1.23356e-03	1.56866e-02	1.62829e-03	2.11378e-02	1.15928e-03	2.89520e-02	1.71208e-04
1.17468e-02	1.18035e-03	1.56849e-02	1.55774e-03	2.11628e-02	1.10869e-03	2.90491e-02	1.63648e-04
1.17356e-02	1.12946e-03	1.56831e-02	1.49026e-03	2.11890e-02	1.06030e-03	2.91512e-02	1.56417e-04
1.17239e-02	1.08078e-03	1.56811e-02	1.42572e-03	2.12163e-02	1.01403e-03	2.92588e-02	1.49501e-04
1.17117e-02	1.03422e-03	1.56790e-02	1.36400e-03	2.12448e-02	9.69767e-04	2.93722e-02	1.42885e-04
1.16988e-02	9.89696e-04	1.56767e-02	1.30496e-03	2.12747e-02	9.27436e-04	2.94917e-02	1.36557e-04
1.16854e-02	9.47110e-04	1.56742e-02	1.24850e-03	2.13058e-02	8.86950e-04	2.96176e-02	1.30505e-04
1.16714e-02	9.06380e-04	1.56716e-02	1.19450e-03	2.13384e-02	8.48228e-04	2.97505e-02	1.24715e-04
1.16567e-02	8.67426e-04	1.56687e-02	1.14286e-03	2.13724e-02	8.11194e-04	2.98907e-02	1.19177e-04
