# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
4.07151e+01	2.23178e-02	2.03338e-02	4.54033	3.63508	1.29620e-05
4.10852e+01	2.23281e-02	2.13250e-02	5.62157	4.03981	1.29620e-05
4.14554e+01	2.23279e-02	2.08023e-02	0.89212	4.28799	1.29620e-05
4.18255e+01	2.23222e-02	2.01158e-02	2.92758	4.31534	1.29620e-05
4.21957e+01	2.23181e-02	2.01971e-02	5.44583	4.14622	1.29620e-05
4.25658e+01	2.23259e-02	2.00244e-02	2.17130	3.77204	1.29620e-05
4.29359e+01	2.23277e-02	2.10399e-02	5.65515	3.20602	1.29620e-05
4.33061e+01	2.23135e-02	2.06835e-02	3.32826	2.47591	1.29620e-05
4.36762e+01	2.23250e-02	2.03811e-02	1.47656	1.52685	1.29620e-05
4.40463e+01	2.23264e-02	2.06995e-02	0.08108	0.40043	1.29620e-05
4.44165e+01	2.23226e-02	2.02095e-02	5.44223	5.36310	1.29620e-05
4.47866e+01	2.23226e-02	2.01887e-02	5.00824	3.83119	1.29620e-05
4.51568e+01	2.23216e-02	2.03310e-02	5.04287	2.13262	1.29620e-05
4.55269e+01	2.23225e-02	2.00540e-02	5.52714	0.23300	1.29620e-05
4.58970e+01	2.23258e-02	2.02174e-02	0.21039	4.40729	1.29620e-05
4.62672e+01	2.23239e-02	2.01840e-02	1.61213	2.13592	1.29620e-05
4.66373e+01	2.23127e-02	2.01891e-02	3.48438	5.94841	1.29620e-05
4.70074e+01	2.23255e-02	2.01703e-02	5.86522	3.26580	1.29620e-05
4.73776e+01	2.23255e-02	1.94717e-02	2.35927	0.42933	1.29620e-05
4.77477e+01	2.23174e-02	1.93995e-02	5.59142	3.68897	1.29620e-05
4.81179e+01	2.23220e-02	1.89492e-02	2.99401	0.47852	1.29620e-05
4.84880e+01	2.23258e-02	1.98615e-02	0.88380	3.32885	1.29620e-05
4.88581e+01	2.23258e-02	2.01674e-02	5.52679	5.99937	1.29620e-05
4.92283e+01	2.23163e-02	1.92957e-02	4.27298	2.23825	1.29620e-05
4.95984e+01	2.23250e-02	1.86064e-02	3.47931	4.56127	1.29620e-05
4.99685e+01	2.23119e-02	1.97235e-02	3.17173	0.37678	1.29620e-05
5.03387e+01	2.23244e-02	1.89748e-02	3.28587	2.31304	1.29620e-05
5.07088e+01	2.23244e-02	1.88415e-02	3.83142	4.10271	1.29620e-05
5.10790e+01	2.23214e-02	1.94055e-02	4.84116	5.66003	1.29620e-05
5.14491e+01	2.23178e-02	1.87750e-02	6.26577	0.77607	1.29620e-05
5.18192e+01	2.23211e-02	1.91654e-02	1.86332	1.97531	1.29620e-05
5.21894e+01	2.23167e-02	1.90005e-02	4.17807	2.99468	1.29620e-05
5.25595e+01	2.23253e-02	1.95831e-02	0.64695	3.85544	1.29620e-05
5.29296e+01	2.23191e-02	1.87590e-02	3.83539	4.50698	1.29620e-05
5.32998e+01	2.23245e-02	1.91111e-02	1.15080	5.00003	1.29620e-05
5.36699e+01	2.23146e-02	1.84171e-02	5.20619	5.28674	1.29620e-05
5.40400e+01	2.23108e-02	1.92060e-02	3.40859	5.39253	1.29620e-05
5.44102e+01	2.23129e-02	1.85902e-02	2.04581	5.33842	1.29620e-05
5.47803e+01	2.23177e-02	1.91840e-02	1.10592	5.08185	1.29620e-05
5.51505e+01	2.23246e-02	1.92742e-02	0.55902	4.68047	1.29620e-05
5.55206e+01	2.23179e-02	1.85066e-02	0.44630	4.09018	1.29620e-05
5.58907e+01	2.23187e-02	1.89397e-02	0.78516	3.29206	1.29620e-05
5.62609e+01	2.23225e-02	1.86278e-02	1.54465	2.34423	1.29620e-05
5.66310e+01	2.23174e-02	1.80011e-02	2.70102	1.21609	1.29620e-05
5.70011e+01	2.23153e-02	1.81538e-02	4.30850	6.16185	1.29620e-05
5.73713e+01	2.23211e-02	1.88009e-02	0.03708	4.66058	1.29620e-05
5.77414e+01	2.23147e-02	1.85619e-02	2.45814	2.99061	1.29620e-05
5.81116e+01	2.23198e-02	1.85548e-02	5.30167	1.16396	1.29620e-05
5.84817e+01	2.23129e-02	1.81186e-02	2.26503	5.42793	1.29620e-05
5.88518e+01	2.23163e-02	1.81388e-02	5.93793	3.22047	1.29620e-05
5.92220e+01	2.23188e-02	1.80764e-02	3.73834	0.83966	1.29620e-05
5.95921e+01	2.23186e-02	1.82439e-02	1.92599	4.58936	1.29620e-05
5.99622e+01	2.23184e-02	1.86718e-02	0.56413	1.86583	1.29620e-05
6.03324e+01	2.23234e-02	1.88370e-02	5.86643	5.25335	1.29620e-05
6.07025e+01	2.23218e-02	1.86652e-02	5.29333	2.18260	1.29620e-05
6.10727e+01	2.23209e-02	1.85541e-02	5.12182	5.22567	1.29620e-05
6.14428e+01	2.23220e-02	1.86108e-02	5.35483	1.81283	1.29620e-05
6.18129e+01	2.23227e-02	1.86629e-02	6.01207	4.51522	1.29620e-05
6.21831e+01	2.23171e-02	1.84054e-02	0.76625	0.75746	1.29620e-05
6.25532e+01	2.23209e-02	1.77519e-02	2.19587	3.12038	1.29620e-05
6.29233e+01	2.23154e-02	1.77732e-02	4.04338	5.29312	1.29620e-05
6.32935e+01	2.23155e-02	1.76842e-02	6.27052	1.03023	1.29620e-05
