# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
6.14428e+01	1.58670e-02	1.63773e-03	0.53033	4.92610	4.36970e-05
6.18129e+01	1.58642e-02	1.59820e-03	1.73108	1.24295	4.36970e-05
6.21831e+01	1.58645e-02	1.59301e-03	3.42491	3.80411	4.36970e-05
6.25532e+01	1.58695e-02	1.44994e-03	5.96571	6.01328	4.36970e-05
6.29233e+01	1.58690e-02	4.98150e-04	2.91024	1.74848	4.36970e-05
6.32935e+01	1.58641e-02	3.71295e-04	0.34267	3.77009	4.36970e-05
6.36636e+01	1.58693e-02	2.90331e-04	4.72944	5.65512	4.36970e-05
6.40338e+01	1.58652e-02	1.28331e-03	2.63162	1.90550	4.36970e-05
6.44039e+01	1.58691e-02	1.44601e-03	2.03301	3.42710	4.36970e-05
6.47740e+01	1.58632e-02	1.62248e-03	2.75723	4.11367	4.36970e-05
6.51442e+01	1.58687e-02	4.99085e-04	4.04138	4.72482	4.36970e-05
6.55143e+01	1.58682e-02	3.50068e-04	4.97024	6.21659	4.36970e-05
6.58844e+01	1.58662e-02	1.39288e-03	0.07315	1.40776	4.36970e-05
6.62546e+01	1.58634e-02	1.58146e-03	3.34681	1.47508	4.36970e-05
6.66247e+01	1.58632e-02	3.36636e-04	0.73960	1.61867	4.36970e-05
6.69949e+01	1.58628e-02	1.34053e-03	3.73085	2.96800	4.36970e-05
6.73650e+01	1.58627e-02	1.59141e-03	2.77115	2.41811	4.36970e-05
6.77351e+01	1.58639e-02	3.92444e-04	2.04612	2.10723	4.36970e-05
6.81053e+01	1.58674e-02	1.47477e-03	0.72442	2.86624	4.36970e-05
6.84754e+01	1.58640e-02	9.21545e-04	1.85447	1.64574	4.36970e-05
6.88455e+01	1.58665e-02	1.12972e-03	1.81759	2.10561	4.36970e-05
6.92157e+01	1.58645e-02	1.44816e-03	4.06289	0.70895	4.36970e-05
6.95858e+01	1.58658e-02	8.57136e-04	5.44462	0.64362	4.36970e-05
6.99560e+01	1.58622e-02	1.56635e-03	2.73285	5.13679	4.36970e-05
7.03261e+01	1.58650e-02	8.05427e-04	5.34049	4.77582	4.36970e-05
7.06962e+01	1.58638e-02	1.45067e-03	3.91062	2.67519	4.36970e-05
7.10664e+01	1.58668e-02	1.09808e-03	1.54909	1.92511	4.36970e-05
7.14365e+01	1.58646e-02	1.05905e-03	1.50084	5.60518	4.36970e-05
7.18066e+01	1.58660e-02	1.39907e-03	0.32621	4.58843	4.36970e-05
7.21768e+01	1.58624e-02	3.45904e-04	1.72334	1.45759	4.36970e-05
7.25469e+01	1.58619e-02	1.51221e-03	2.13245	6.09762	4.36970e-05
