# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
3.70137e+01	3.83769e-02	3.02033e-02	2.73760	1.92239	3.47100e-05
3.73839e+01	3.83952e-02	2.97898e-02	2.41724	4.31554	3.47100e-05
3.77540e+01	3.83907e-02	2.98950e-02	2.29896	0.26166	3.47100e-05
3.81241e+01	3.83951e-02	2.96572e-02	2.43705	2.24285	3.47100e-05
3.84943e+01	3.83756e-02	2.99885e-02	2.76298	4.06199	3.47100e-05
3.88644e+01	3.83788e-02	2.97552e-02	3.35120	5.63801	3.47100e-05
3.92346e+01	3.83889e-02	2.97544e-02	4.10976	0.78490	3.47100e-05
3.96047e+01	3.83924e-02	3.00037e-02	5.15076	1.96267	3.47100e-05
3.99748e+01	3.83919e-02	2.99876e-02	0.03682	3.02362	3.47100e-05
4.03450e+01	3.83814e-02	2.95474e-02	1.49759	3.81230	3.47100e-05
4.07151e+01	3.83659e-02	2.95495e-02	3.12419	4.45677	3.47100e-05
4.10852e+01	3.83918e-02	2.95182e-02	5.02520	4.84460	3.47100e-05
4.14554e+01	3.84099e-02	2.96812e-02	0.83059	5.07537	3.47100e-05
4.18255e+01	3.83740e-02	2.95150e-02	3.12366	5.11238	3.47100e-05
4.21957e+01	3.83761e-02	2.94154e-02	5.66541	4.91775	3.47100e-05
4.25658e+01	3.83822e-02	2.91185e-02	2.06174	4.60530	3.47100e-05
4.29359e+01	3.83918e-02	2.92470e-02	5.03958	4.01130	3.47100e-05
4.33061e+01	3.83793e-02	2.92103e-02	1.92799	3.25157	3.47100e-05
4.36762e+01	3.83774e-02	2.91547e-02	5.26169	2.34044	3.47100e-05
4.40463e+01	3.83780e-02	2.90357e-02	2.56927	1.18658	3.47100e-05
4.44165e+01	3.84220e-02	2.94483e-02	0.05578	6.15419	3.47100e-05
4.47866e+01	3.83907e-02	2.88643e-02	4.05591	4.62579	3.47100e-05
4.51568e+01	3.83678e-02	2.90437e-02	1.99281	2.90424	3.47100e-05
4.55269e+01	3.84219e-02	2.92854e-02	0.09368	1.02363	3.47100e-05
4.58970e+01	3.83869e-02	2.87920e-02	4.70917	5.21117	3.47100e-05
4.62672e+01	3.83799e-02	2.86674e-02	3.24540	2.92658	3.47100e-05
4.66373e+01	3.83811e-02	2.87316e-02	1.99611	0.44071	3.47100e-05
4.70074e+01	3.83740e-02	2.85856e-02	0.91762	4.09888	3.47100e-05
4.73776e+01	3.83908e-02	2.87899e-02	0.07200	1.24113	3.47100e-05
4.77477e+01	3.83763e-02	2.86165e-02	5.73150	4.45888	3.47100e-05
4.81179e+01	3.83858e-02	2.83199e-02	5.23957	1.27866	3.47100e-05
4.84880e+01	3.83855e-02	2.85389e-02	5.00731	4.13262	3.47100e-05
4.88581e+01	3.83910e-02	2.83756e-02	4.98321	0.52119	3.47100e-05
4.92283e+01	3.83917e-02	2.86116e-02	5.15866	2.99529	3.47100e-05
4.95984e+01	3.83808e-02	2.79653e-02	5.45053	5.36837	3.47100e-05
4.99685e+01	3.83921e-02	2.85339e-02	6.01399	1.19695	3.47100e-05
5.03387e+01	3.83736e-02	2.80172e-02	0.48267	3.13360	3.47100e-05
5.07088e+01	3.83836e-02	2.80882e-02	1.44423	4.88542	3.47100e-05
5.10790e+01	3.83917e-02	2.77428e-02	2.59369	0.16483	3.47100e-05
5.14491e+01	3.83807e-02	2.77118e-02	3.89425	1.59304	3.47100e-05
5.18192e+01	3.83733e-02	2.79373e-02	5.42986	2.79401	3.47100e-05
5.21894e+01	3.83855e-02	2.81055e-02	0.87903	3.81009	3.47100e-05
5.25595e+01	3.83738e-02	2.79654e-02	2.82251	4.63883	3.47100e-05
5.29296e+01	3.83941e-02	2.79811e-02	4.96637	5.26596	3.47100e-05
5.32998e+01	3.84098e-02	2.80199e-02	0.94614	5.78485	3.47100e-05
5.36699e+01	3.83742e-02	2.75018e-02	3.41692	6.11027	3.47100e-05
5.40400e+01	3.83940e-02	2.80810e-02	6.11830	6.21175	3.47100e-05
5.44102e+01	3.83760e-02	2.77112e-02	2.73056	6.14147	3.47100e-05
5.47803e+01	3.83916e-02	2.78123e-02	5.80576	5.89049	3.47100e-05
5.51505e+01	3.83742e-02	2.76279e-02	2.78444	5.46288	3.47100e-05
5.55206e+01	3.83827e-02	2.77813e-02	6.24087	4.84976	3.47100e-05
5.58907e+01	3.83813e-02	2.73330e-02	3.60363	4.05652	3.47100e-05
5.62609e+01	3.84070e-02	2.75421e-02	1.12124	3.12916	3.47100e-05
5.66310e+01	3.83907e-02	2.72829e-02	5.11365	2.01178	3.47100e-05
5.70011e+01	3.83651e-02	2.73334e-02	3.02115	0.70130	3.47100e-05
5.73713e+01	3.83768e-02	2.72636e-02	1.11708	5.49385	3.47100e-05
