# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
7.88392e+01	1.15914e-02	5.32619e-04	0.71662	0.25500	4.59020e-05
7.92094e+01	1.15909e-02	4.97773e-04	5.65726	1.53628	4.59020e-05
7.95795e+01	1.15907e-02	4.87257e-04	5.26182	2.65689	4.59020e-05
7.99497e+01	1.15908e-02	4.97171e-04	5.90055	3.59727	4.59020e-05
8.03198e+01	1.15913e-02	5.49281e-04	1.08846	4.41840	4.59020e-05
8.06899e+01	1.15914e-02	5.69856e-04	3.44102	5.13812	4.59020e-05
8.10601e+01	1.15906e-02	5.14580e-04	0.50759	5.63864	4.59020e-05
8.14302e+01	1.15944e-02	2.75009e-04	5.74643	5.02598	4.59020e-05
8.18003e+01	1.15907e-02	4.91114e-04	0.02424	3.65095	4.59020e-05
8.21705e+01	1.15908e-02	4.71450e-04	6.00911	3.83880	4.59020e-05
8.25406e+01	1.15911e-02	4.86480e-04	2.63863	1.58529	4.59020e-05
8.29108e+01	1.15911e-02	6.55505e-04	4.21267	1.44004	4.59020e-05
8.32809e+01	1.15909e-02	3.86000e-04	2.46353	5.38293	4.59020e-05
8.36510e+01	1.15906e-02	5.44528e-04	6.06607	4.80888	4.59020e-05
8.40212e+01	1.15905e-02	5.07105e-04	0.50056	1.52873	4.59020e-05
8.43913e+01	1.15935e-02	3.70745e-04	1.03590	5.47451	4.59020e-05
8.47614e+01	1.15899e-02	5.81957e-04	1.40280	4.06541	4.59020e-05
8.51316e+01	1.15907e-02	5.73320e-04	4.24506	0.93700	4.59020e-05
8.55017e+01	1.15907e-02	5.28633e-04	2.30468	3.41576	4.59020e-05
8.58719e+01	1.15903e-02	6.17266e-04	0.78657	6.15573	4.59020e-05
8.62420e+01	1.15901e-02	5.10839e-04	0.01094	2.62091	4.59020e-05
8.66121e+01	1.15902e-02	5.11330e-04	0.65047	4.70350	4.59020e-05
8.69823e+01	1.15905e-02	6.40504e-04	1.73146	0.80918	4.59020e-05
8.73524e+01	1.15905e-02	5.77926e-04	3.66167	3.16392	4.59020e-05
8.77225e+01	1.15897e-02	4.51485e-04	0.65395	4.84838	4.59020e-05
8.80927e+01	1.15920e-02	4.08821e-04	4.77655	0.14475	4.59020e-05
8.84628e+01	1.15895e-02	4.72412e-04	5.29002	6.07231	4.59020e-05
8.88330e+01	1.15902e-02	6.51007e-04	4.45378	1.52247	4.59020e-05
8.92031e+01	1.15930e-02	2.75701e-04	5.46160	2.21796	4.59020e-05
8.95732e+01	1.15902e-02	6.40439e-04	1.91045	1.85450	4.59020e-05
8.99434e+01	1.15903e-02	3.69025e-04	3.78798	3.07989	4.59020e-05
9.03135e+01	1.15903e-02	6.39990e-04	2.66754	1.75046	4.59020e-05
9.06836e+01	1.15904e-02	3.38742e-04	2.32013	0.37756	4.59020e-05
9.10538e+01	1.15892e-02	5.91255e-04	0.65771	1.11823	4.59020e-05
9.14239e+01	1.15900e-02	5.28221e-04	2.25868	5.53464	4.59020e-05
9.17941e+01	1.15889e-02	4.64158e-04	4.19651	4.05542	4.59020e-05
9.21642e+01	1.15931e-02	3.58935e-04	0.47186	2.67938	4.59020e-05
9.25343e+01	1.15891e-02	4.42541e-04	2.88423	2.17136	4.59020e-05
9.29045e+01	1.15888e-02	5.67540e-04	1.62681	6.12113	4.59020e-05
9.32746e+01	1.15888e-02	4.37325e-04	1.17654	3.62920	4.59020e-05
9.36447e+01	1.15887e-02	4.94445e-04	1.22189	1.35771	4.59020e-05
9.40149e+01	1.15887e-02	5.51125e-04	2.48666	4.86478	4.59020e-05
9.43850e+01	1.15913e-02	2.80388e-04	5.17876	1.37424	4.59020e-05
9.47552e+01	1.15888e-02	4.31588e-04	3.44028	3.09403	4.59020e-05
9.51253e+01	1.15892e-02	5.27951e-04	0.61290	0.26176	4.59020e-05
9.54954e+01	1.15893e-02	6.36646e-04	5.21576	3.27327	4.59020e-05
9.58656e+01	1.15908e-02	2.87956e-04	4.94480	5.58230	4.59020e-05
9.62357e+01	1.15889e-02	5.07865e-04	0.40243	0.29985	4.59020e-05
9.66058e+01	1.15884e-02	4.98905e-04	0.90999	3.30726	4.59020e-05
9.69760e+01	1.15882e-02	4.71562e-04	4.74194	3.62217	4.59020e-05
9.73461e+01	1.15883e-02	5.72929e-04	1.04046	5.88873	4.59020e-05
9.77163e+01	1.15886e-02	5.97993e-04	0.38667	5.80565	4.59020e-05
9.80864e+01	1.15907e-02	2.80537e-04	5.04216	1.11119	4.59020e-05
9.84565e+01	1.15889e-02	5.07439e-04	5.43548	1.44242	4.59020e-05
9.88267e+01	1.15887e-02	5.23191e-04	0.98782	0.95642	4.59020e-05
9.91968e+01	1.15882e-02	4.30218e-04	3.46253	0.52316	4.59020e-05
9.95669e+01	1.15908e-02	2.87782e-04	4.83638	1.88342	4.59020e-05
9.99371e+01	1.15879e-02	4.68115e-04	2.30539	1.55387	4.59020e-05
1.00307e+02	1.15879e-02	4.97277e-04	1.08561	0.67037	4.59020e-05
1.00677e+02	1.15880e-02	5.07801e-04	0.60945	5.94379	4.59020e-05
1.01047e+02	1.15878e-02	4.96461e-04	1.02160	4.73063	4.59020e-05
1.01418e+02	1.15876e-02	4.72553e-04	2.24611	3.38858	4.59020e-05
1.01788e+02	1.15901e-02	3.02143e-04	4.56476	1.63418	4.59020e-05
1.02158e+02	1.15880e-02	4.18978e-04	3.28322	4.22862	4.59020e-05
1.02528e+02	1.15882e-02	5.17370e-04	0.70926	2.44395	4.59020e-05
1.02898e+02	1.15884e-02	5.17840e-04	5.05178	0.70330	4.59020e-05
1.03268e+02	1.15889e-02	3.15140e-04	4.27258	4.76118	4.59020e-05
1.03638e+02	1.15878e-02	5.87076e-04	6.05250	0.64996	4.59020e-05
1.04009e+02	1.15877e-02	5.88017e-04	0.28224	4.83230	4.59020e-05
1.04379e+02	1.15874e-02	4.56766e-04	3.75604	0.37227	4.59020e-05
1.04749e+02	1.15880e-02	5.47293e-04	5.95592	4.14099	4.59020e-05
1.05119e+02	1.15873e-02	4.72980e-04	5.18442	5.26642	4.59020e-05
1.05489e+02	1.15873e-02	4.13971e-04	2.71472	2.47576	4.59020e-05
1.05859e+02	1.15884e-02	6.34046e-04	3.16183	3.78588	4.59020e-05
1.06229e+02	1.15871e-02	4.65463e-04	4.33777	4.96284	4.59020e-05
1.06600e+02	1.15896e-02	2.94564e-04	4.67754	1.35739	4.59020e-05
1.06970e+02	1.15871e-02	4.48786e-04	1.12697	2.30297	4.59020e-05
1.07340e+02	1.15879e-02	6.41043e-04	4.67487	3.09410	4.59020e-05
1.07710e+02	1.15880e-02	5.69619e-04	2.85529	3.69862	4.59020e-05
1.08080e+02	1.15879e-02	5.38701e-04	2.13903	3.78882	4.59020e-05
1.08450e+02	1.15879e-02	6.29184e-04	1.83815	4.12054	4.59020e-05
1.08820e+02	1.15879e-02	5.64401e-04	2.22552	4.41934	4.59020e-05
1.09191e+02	1.15879e-02	5.28349e-04	3.88909	4.16526	4.59020e-05
1.09561e+02	1.15873e-02	6.14311e-04	5.85286	4.19422	4.59020e-05
1.09931e+02	1.15867e-02	4.65301e-04	2.46325	3.94504	4.59020e-05
1.10301e+02	1.15883e-02	4.21203e-04	2.11220	1.30588	4.59020e-05
1.10671e+02	1.15872e-02	5.24084e-04	0.27408	0.80431	4.59020e-05
1.11041e+02	1.15872e-02	4.94598e-04	5.74929	6.27231	4.59020e-05
1.11411e+02	1.15906e-02	3.54622e-04	0.29104	4.40086	4.59020e-05
1.11781e+02	1.15874e-02	5.39458e-04	2.01866	2.27217	4.59020e-05
1.12152e+02	1.15868e-02	5.19833e-04	3.15849	1.37508	4.59020e-05
1.12522e+02	1.15872e-02	5.31132e-04	1.33166	4.08563	4.59020e-05
1.12892e+02	1.15880e-02	4.29732e-04	4.17885	2.83368	4.59020e-05
1.13262e+02	1.15874e-02	5.31559e-04	3.68534	5.49169	4.59020e-05
1.13632e+02	1.15863e-02	4.51636e-04	3.71126	1.98585	4.59020e-05
1.14002e+02	1.15864e-02	4.04863e-04	2.83035	0.02587	4.59020e-05
